Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,latitude,longitude,altitude,UTM_northing,UTM_easting,Zone,letter
1663967604.2863145,0,155040,0,GPS1_Fram1,42.339036666666665,-71.08861833333333,0.9,4220.3422,7105.3171,19,T
1663967605.3044207,0,155100,0,GPS1_Fram1,42.339043333333336,-71.08862833333333,0.9,4220.3426,7105.3177,19,T
1663967606.3028145,0,155160,0,GPS1_Fram1,42.33905,-71.08864166666666,0.9,4220.343,7105.3185,19,T
1663967607.28407,0,155220,0,GPS1_Fram1,42.339058333333334,-71.08865166666666,0.9,4220.3435,7105.3191,19,T
1663967608.2836866,0,155280,0,GPS1_Fram1,42.33906666666667,-71.08865833333333,0.9,4220.344,7105.3195,19,T
1663967609.302411,0,155340,0,GPS1_Fram1,42.339075,-71.08866666666667,0.9,4220.3445,7105.32,19,T
1663967610.285638,0,155400,0,GPS1_Fram1,42.339081666666665,-71.08867333333333,0.9,4220.3449,7105.3204,19,T
1663967611.2827225,0,155460,0,GPS1_Fram1,42.33909,-71.08868166666667,1.0,4220.3454,7105.3209,19,T
1663967612.2824876,0,155520,0,GPS1_Fram1,42.3391,-71.08869,1.0,4220.346,7105.3214,19,T
1663967613.285173,0,155580,0,GPS1_Fram1,42.339106666666666,-71.08869833333334,0.9,4220.3464,7105.3219,19,T
1663967614.2850494,0,155640,0,GPS1_Fram1,42.33911333333333,-71.08870666666667,0.9,4220.3468,7105.3224,19,T
1663967615.3035738,0,155700,0,GPS1_Fram1,42.33912,-71.08871333333333,0.9,4220.3472,7105.3228,19,T
1663967616.284755,0,155760,0,GPS1_Fram1,42.339126666666665,-71.08872,0.9,4220.3476,7105.3232,19,T
1663967617.3033931,0,155820,0,GPS1_Fram1,42.33913166666667,-71.08872666666667,0.9,4220.3479,7105.3236,19,T
1663967618.2837224,0,155880,0,GPS1_Fram1,42.33913666666667,-71.08873333333334,0.9,4220.3482,7105.324,19,T
1663967619.2827222,0,155940,0,GPS1_Fram1,42.33914333333333,-71.08873833333334,0.9,4220.3486,7105.3243,19,T
1663967620.3036764,0,156000,0,GPS1_Fram1,42.33915,-71.08874333333333,0.9,4220.349,7105.3246,19,T
1663967621.2843275,0,156060,0,GPS1_Fram1,42.339155,-71.08875,0.9,4220.3493,7105.325,19,T
1663967622.283552,0,156120,0,GPS1_Fram1,42.33916,-71.08875666666667,0.9,4220.3496,7105.3254,19,T
1663967623.285581,0,156180,0,GPS1_Fram1,42.33916333333333,-71.08876666666667,0.9,4220.3498,7105.326,19,T
1663967624.305237,0,156240,0,GPS1_Fram1,42.33916833333333,-71.088775,0.9,4220.3501,7105.3265,19,T
1663967625.3046331,0,156300,0,GPS1_Fram1,42.339173333333335,-71.088785,0.9,4220.3504,7105.3271,19,T
1663967626.2852318,0,156360,0,GPS1_Fram1,42.33917833333334,-71.08879166666667,0.9,4220.3507,7105.3275,19,T
1663967627.2833855,0,156420,0,GPS1_Fram1,42.33918333333333,-71.08879833333333,0.9,4220.351,7105.3279,19,T
1663967628.284648,0,156480,0,GPS1_Fram1,42.33918833333333,-71.088805,0.9,4220.3513,7105.3283,19,T
1663967629.285195,0,156540,0,GPS1_Fram1,42.339193333333334,-71.08881333333333,0.9,4220.3516,7105.3288,19,T
1663967630.3054316,0,156600,0,GPS1_Fram1,42.339198333333336,-71.08882,0.9,4220.3519,7105.3292,19,T
1663967631.302943,0,156660,0,GPS1_Fram1,42.33920166666667,-71.08882833333334,0.9,4220.3521,7105.3297,19,T
1663967632.2847328,0,156720,0,GPS1_Fram1,42.33920666666667,-71.08883333333333,0.9,4220.3524,7105.33,19,T
1663967633.2847226,0,156780,0,GPS1_Fram1,42.33921333333333,-71.08883666666667,0.9,4220.3528,7105.3302,19,T
1663967634.2819028,0,156840,0,GPS1_Fram1,42.33922,-71.08884333333333,1.0,4220.3532,7105.3306,19,T
1663967635.2827039,0,156900,0,GPS1_Fram1,42.33922666666667,-71.08885,1.0,4220.3536,7105.331,19,T
1663967636.2826424,0,156960,0,GPS1_Fram1,42.33923166666667,-71.08885333333333,1.0,4220.3539,7105.3312,19,T
1663967637.2818656,0,157020,0,GPS1_Fram1,42.339241666666666,-71.088855,1.0,4220.3545,7105.3313,19,T
1663967638.3016748,0,157080,0,GPS1_Fram1,42.33925166666667,-71.088855,1.0,4220.3551,7105.3313,19,T
1663967639.2815773,0,157140,0,GPS1_Fram1,42.33926,-71.08885666666667,1.0,4220.3556,7105.3314,19,T
1663967640.2786064,0,159600,0,GPS1_Fram1,42.33926833333334,-71.08886,1.1,4220.3561,7105.3316,19,T
1663967641.2821672,0,159660,0,GPS1_Fram1,42.33927333333333,-71.08886666666666,1.0,4220.3564,7105.332,19,T
1663967642.281692,0,159720,0,GPS1_Fram1,42.33928,-71.08887333333334,1.0,4220.3568,7105.3324,19,T
1663967643.3008623,0,159780,0,GPS1_Fram1,42.339288333333336,-71.08888,1.0,4220.3573,7105.3328,19,T
1663967644.3002093,0,159840,0,GPS1_Fram1,42.33929833333333,-71.088885,1.0,4220.3579,7105.3331,19,T
1663967645.300563,0,159900,0,GPS1_Fram1,42.339306666666666,-71.08889166666667,1.0,4220.3584,7105.3335,19,T
1663967646.2812762,0,159960,0,GPS1_Fram1,42.339315,-71.08889666666667,1.0,4220.3589,7105.3338,19,T
1663967647.281533,0,160020,0,GPS1_Fram1,42.339325,-71.08890166666667,1.0,4220.3595,7105.3341,19,T
1663967648.2819538,0,160080,0,GPS1_Fram1,42.339333333333336,-71.08891166666666,1.0,4220.36,7105.3347,19,T
1663967649.2831402,0,160140,0,GPS1_Fram1,42.339345,-71.08892666666667,1.0,4220.3607,7105.3356,19,T
1663967650.2998202,0,160200,0,GPS1_Fram1,42.33936,-71.08893833333333,1.0,4220.3616,7105.3363,19,T
1663967651.2816546,0,160260,0,GPS1_Fram1,42.339373333333334,-71.08895,1.0,4220.3624,7105.337,19,T
1663967652.3006377,0,160320,0,GPS1_Fram1,42.339398333333335,-71.08895166666667,1.0,4220.3639,7105.3371,19,T
1663967653.299954,0,160380,0,GPS1_Fram1,42.339416666666665,-71.08895166666667,1.0,4220.365,7105.3371,19,T
1663967654.2813284,0,160440,0,GPS1_Fram1,42.33942833333333,-71.08895166666667,1.0,4220.3657,7105.3371,19,T
1663967655.2831109,0,160500,0,GPS1_Fram1,42.339436666666664,-71.08895166666667,1.0,4220.3662,7105.3371,19,T
1663967656.3000731,0,160560,0,GPS1_Fram1,42.339445,-71.08895166666667,1.0,4220.3667,7105.3371,19,T
